,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Kiama,AU,59,-34.67,150.86,54,90,12.75
1,Belorechensk,RU,48.2,44.77,39.87,93,0,6.71
2,Auki,NG,76.87,12.18,6.51,72,20,2.82
3,Cape Town,ZA,62.6,-33.93,18.42,88,0,8.05
4,Hobart,AU,50,-42.88,147.33,43,75,6.93
5,Ribeira Grande,PT,67.91,38.52,-28.7,99,0,19.26
6,Turukhansk,RU,36.86,65.8,87.96,92,92,17.81
7,Nikolskoye,RU,33.8,59.7,30.79,94,75,15.66
8,Gobabis,NA,77,-22.45,18.97,34,48,3.36
9,Avarua,CK,77,-21.21,-159.78,83,75,11.41
10,Tasiilaq,GL,32,65.61,-37.64,93,92,36.91
11,Arlit,NE,85.64,18.74,7.39,34,88,5.95
12,Abu Zabad,SD,77.27,12.35,29.25,32,0,11.43
13,Punta Arenas,CL,53.6,-53.16,-70.91,50,40,18.34
14,Vardo,US,47.66,39.62,-77.74,87,90,6.93
15,Albany,US,41.05,42.65,-73.75,86,90,10.29
16,Georgetown,GY,84.2,6.8,-58.16,70,20,13.87
17,Ushuaia,AR,50,-54.81,-68.31,53,40,19.46
18,Coihaique,CL,60.49,-45.58,-72.07,42,40,6.93
19,Kieta,PG,78.98,-6.22,155.63,100,92,4.38
20,Kruisfontein,ZA,64.72,-34,24.73,86,0,14.12
21,Busselton,AU,56.3,-33.64,115.35,100,0,12.21
22,Clyde River,CA,12.2,70.47,-68.59,85,75,24.16
23,Uporovo,RU,34.61,56.31,66.27,69,48,8.41
24,Butaritari,KI,85.55,3.07,172.79,100,8,10.76
25,Hillsborough,US,73.89,37.57,-122.38,64,1,10.29
26,Mariinsk,RU,38.39,56.21,87.75,80,0,9.19
27,Buin,CL,77,-33.73,-70.74,31,75,14.99
28,Mataura,NZ,48.74,-46.19,168.86,100,92,4.61
29,Lagoa,PT,57.2,37.14,-8.45,47,0,12.75
30,Esperance,TT,86,10.24,-61.45,62,20,11.41
31,Bubaque,GW,84.2,11.28,-15.83,83,44,4.7
32,Norman Wells,CA,23,65.28,-126.83,92,90,2.24
33,Kaitangata,NZ,48.16,-46.28,169.85,100,92,4.27
34,Barrow,AR,67.06,-38.31,-60.23,68,76,3.94
35,Bredasdorp,ZA,66.2,-34.53,20.04,82,48,13.87
36,Yellowknife,CA,32,62.45,-114.38,93,90,11.41
37,Port Macquarie,AU,68,-31.43,152.91,68,75,17.22
38,Pizarro,CO,77,4.95,-77.37,100,92,4.27
39,Iqaluit,CA,19.4,63.75,-68.52,85,75,31.09
40,Havre-Saint-Pierre,CA,26.6,50.23,-63.6,68,20,6.93
41,Lensk,RU,12.74,60.71,114.91,76,44,2.48
42,Port Alfred,ZA,68.63,-33.59,26.89,93,24,14
43,Tuktoyaktuk,CA,26.6,69.44,-133.03,100,90,12.75
44,Saldanha,PT,37.94,41.42,-6.55,74,48,5.28
45,Atuona,PF,79.88,-9.8,-139.03,100,0,16.13
46,Lebu,ET,48.29,8.96,38.73,78,0,5.95
47,Isangel,VU,75.02,-19.55,169.27,100,0,1.92
48,Vaini,IN,67.24,15.34,74.49,54,0,5.06
49,Hermanus,ZA,66.92,-34.42,19.24,65,0,4.5
50,Suntar,RU,20.3,62.16,117.65,73,56,6.17
51,Ekhabi,RU,42.53,53.51,142.97,96,92,29.21
52,Mozhaysk,RU,42.62,55.5,36.03,95,92,16.13
53,Tuatapere,NZ,46.99,-46.13,167.69,100,80,3.49
54,Qandala,SO,66.11,11.47,49.87,88,0,2.82
55,Saint-Cyr-sur-Loire,FR,39.2,47.41,0.67,86,0,5.82
56,Kapaa,US,82.4,22.08,-159.32,69,75,13.87
57,New Norfolk,AU,50,-42.78,147.06,43,75,6.93
58,Piacabucu,BR,83.12,-10.41,-36.43,53,0,16.02
59,Umm Kaddadah,SD,78.17,13.6,26.69,23,0,11.43
60,Hithadhoo,MV,78.89,-0.6,73.08,100,92,12.21
61,Andreapol,RU,43.34,56.65,32.27,97,92,17.02
62,Cockburn Town,TC,83.17,21.46,-71.14,100,12,9.75
63,Longyearbyen,NO,19.4,78.22,15.63,73,75,10.29
64,Lima Duarte,BR,70.34,-21.84,-43.79,84,68,14.67
65,Arraial do Cabo,BR,82.4,-22.97,-42.02,69,75,3.94
66,Rikitea,PF,73.27,-23.12,-134.97,100,0,14.45
67,Airai,TL,60.8,-8.93,125.41,79,0,0.69
68,Namibe,AO,79.66,-15.19,12.15,82,0,16.69
